sigma,pi_reward,base_opp,exit_threshold,n_seeds,regime_majority_legacy,regime_majority_hier,n_collapse_legacy,n_capture_legacy,n_mixed_legacy,n_quiet_legacy,n_collapse_hier,n_capture_hier,n_mixed_hier,n_quiet_hier,median_fund_prevalence,median_exit_rate,median_max_punish,median_enforcer_punish_share,median_top5_share
0.25,0.05,0.3,-1.0,5,QUIET,QUIET,0,0,0,5,0,0,0,5,0.0,0.0828571428571428,0.0485714285714285,0.6431229814340634,0.601725377426312
0.25,0.05,0.3,1.5,5,QUIET,QUIET,0,0,0,5,0,0,0,5,0.0,0.5885714285714285,0.055555555555555525,0.6340952763155134,0.7374149659863946
0.25,0.05,1.5,-1.0,5,QUIET,QUIET,0,0,0,5,0,0,0,5,0.0034013605442176,0.1657142857142857,0.0485714285714285,0.6154547029931635,0.5733982157339822
0.25,0.05,1.5,1.5,5,COLLAPSE,COLLAPSE,5,0,0,0,5,0,0,0,0.0,0.98,0.1666666666666624,0.9144013676072489,0.8620689655172413
0.25,0.05,3.0,-1.0,5,QUIET,QUIET,0,0,0,5,0,0,0,5,0.0083333333333333,0.2914285714285714,0.0485714285714285,0.6020377042877033,0.5802583025830258
0.25,0.05,3.0,1.5,5,COLLAPSE,COLLAPSE,5,0,0,0,5,0,0,0,0.0,0.9971428571428572,0.0485714285714285,0.919973545973545,0.8686868686868687
0.25,0.05,5.0,-1.0,5,QUIET,QUIET,0,0,0,5,0,0,0,5,0.0042016806722689,0.3085714285714285,0.0485714285714285,0.6083342188865344,0.5981818181818181
0.25,0.05,5.0,1.5,5,COLLAPSE,COLLAPSE,5,0,0,0,5,0,0,0,0.0,0.9971428571428572,0.5000000000000034,0.9241372063872053,0.8705882352941177
0.25,0.25,0.3,-1.0,5,MIXED,MIXED,0,0,5,0,0,0,5,0,0.0958904109589041,0.4171428571428571,0.12618296529968442,0.7891047461331682,0.8279192273924495
0.25,0.25,0.3,1.5,5,MIXED,MIXED,0,0,5,0,0,0,5,0,0.1,0.6857142857142857,0.16783216783216767,0.8158359420544721,0.9442139234670355
0.25,0.25,1.5,-1.0,5,MIXED,MIXED,0,0,5,0,0,0,5,0,0.0923076923076923,0.4457142857142857,0.1117478510028653,0.46474269350160197,0.7121848739495799
0.25,0.25,1.5,1.5,5,COLLAPSE,COLLAPSE,5,0,0,0,5,0,0,0,0.1428571428571428,0.98,0.14285714285713988,0.7797570542915361,0.9339622641509434
0.25,0.25,3.0,-1.0,5,MIXED,MIXED,0,0,5,0,0,0,5,0,0.0952380952380952,0.4942857142857143,0.11461318051575922,0.40776056102148456,0.7339003645200486
0.25,0.25,3.0,1.5,5,COLLAPSE,COLLAPSE,5,0,0,0,5,0,0,0,0.0,0.9942857142857144,0.08,0.8734579001495987,0.9402985074626866
0.25,0.25,5.0,-1.0,5,MIXED,MIXED,0,0,4,1,0,0,4,1,0.0963855421686747,0.4714285714285714,0.11821086261980829,0.4197645974820075,0.665580182529335
0.25,0.25,5.0,1.5,5,COLLAPSE,COLLAPSE,5,0,0,0,5,0,0,0,0.5,0.9971428571428572,0.0628571428571428,0.8455043869649123,0.9402985074626866
0.25,0.5,0.3,-1.0,5,MIXED,MIXED,0,0,5,0,0,0,5,0,0.1192660550458715,0.4342857142857143,0.18770226537216828,0.6876260678755117,0.7761887736860923
