alpha,delta,sigma,pi_reward,seed,final_fund_prevalence,final_exit_rate,max_punish,top5_punishment_share,top10_punishment_share,enforcer_punish_share,regime,run_dir
0.0,0.0,0.75,0.25,1,0.1191489361702127,0.3285714285714285,0.1485714285714285,0.8040988547317661,0.9714285714285714,0.9367922677020337,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6_delta_threshold_sweep/alpha_0.00/delta_0.00/sigma_0.75/pi_0.25/seed_01
0.0,0.0,0.75,0.25,2,0.1146788990825688,0.3771428571428571,0.1457142857142857,0.8300719748088169,0.9737966711650922,0.9582698190275803,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6_delta_threshold_sweep/alpha_0.00/delta_0.00/sigma_0.75/pi_0.25/seed_02
0.0,0.0,0.75,0.25,3,0.1383928571428571,0.36,0.1628571428571428,0.7998610145934677,0.9754459115126245,0.9483670610364652,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6_delta_threshold_sweep/alpha_0.00/delta_0.00/sigma_0.75/pi_0.25/seed_03
0.0,0.0,0.75,0.25,4,0.1400966183574879,0.4085714285714286,0.1485714285714285,0.8279094827586206,0.9800646551724138,0.963999761474435,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6_delta_threshold_sweep/alpha_0.00/delta_0.00/sigma_0.75/pi_0.25/seed_04
0.0,0.0,0.75,0.25,5,0.1333333333333333,0.4428571428571428,0.1542857142857142,0.816746126340882,0.9810290027810886,0.9687934866571546,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6_delta_threshold_sweep/alpha_0.00/delta_0.00/sigma_0.75/pi_0.25/seed_05
0.0,0.0,0.75,0.25,6,0.145,0.4285714285714285,0.1371428571428571,0.7961733697774307,0.9748796043212287,0.8982277958071576,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6_delta_threshold_sweep/alpha_0.00/delta_0.00/sigma_0.75/pi_0.25/seed_06
0.0,0.0,0.75,0.25,7,0.1238938053097345,0.3542857142857142,0.1514285714285714,0.8052154750244858,0.9704946131243879,0.9436740695520095,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6_delta_threshold_sweep/alpha_0.00/delta_0.00/sigma_0.75/pi_0.25/seed_07
0.0,0.0,0.75,0.25,8,0.1395348837209302,0.3857142857142857,0.1457142857142857,0.8030396639070801,0.9735573952798715,0.9468496578953661,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6_delta_threshold_sweep/alpha_0.00/delta_0.00/sigma_0.75/pi_0.25/seed_08
0.0,0.0,0.75,0.25,9,0.1395348837209302,0.3857142857142857,0.1457142857142857,0.813580767608604,0.9758540700126529,0.9610212663084793,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6_delta_threshold_sweep/alpha_0.00/delta_0.00/sigma_0.75/pi_0.25/seed_09
0.0,0.0,0.75,0.25,10,0.1203703703703703,0.3828571428571428,0.1428571428571428,0.8289778365861726,0.9766236630278973,0.9617474579600372,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6_delta_threshold_sweep/alpha_0.00/delta_0.00/sigma_0.75/pi_0.25/seed_10
0.0,0.0,0.75,0.5,1,0.1212121212121212,0.34,0.1428571428571428,0.8210354223433243,0.9758038147138964,0.9617662290511868,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6_delta_threshold_sweep/alpha_0.00/delta_0.00/sigma_0.75/pi_0.50/seed_01
0.0,0.0,0.75,0.5,2,0.1220657276995305,0.3914285714285714,0.1514285714285714,0.8257592551540678,0.9752826424296165,0.964335190310772,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6_delta_threshold_sweep/alpha_0.00/delta_0.00/sigma_0.75/pi_0.50/seed_02
0.0,0.0,0.75,0.5,3,0.1415525114155251,0.3742857142857143,0.1628571428571428,0.7935072940209574,0.9777070063694268,0.9616365386177135,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6_delta_threshold_sweep/alpha_0.00/delta_0.00/sigma_0.75/pi_0.50/seed_03
0.0,0.0,0.75,0.5,4,0.1502347417840375,0.3914285714285714,0.1514285714285714,0.8283022160181469,0.9782760425754667,0.9689781728005141,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6_delta_threshold_sweep/alpha_0.00/delta_0.00/sigma_0.75/pi_0.50/seed_04
0.0,0.0,0.75,0.5,5,0.136986301369863,0.3742857142857143,0.1542857142857142,0.8024020887728459,0.978798955613577,0.965464295334879,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6_delta_threshold_sweep/alpha_0.00/delta_0.00/sigma_0.75/pi_0.50/seed_05
0.0,0.0,0.75,0.5,6,0.144927536231884,0.4085714285714286,0.1485714285714285,0.8183826778612462,0.9780159080866107,0.960761688284671,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6_delta_threshold_sweep/alpha_0.00/delta_0.00/sigma_0.75/pi_0.50/seed_06
0.0,0.0,0.75,0.5,7,0.1266968325791855,0.3685714285714285,0.1514285714285714,0.8193765281173594,0.9764669926650367,0.9634877811975423,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6_delta_threshold_sweep/alpha_0.00/delta_0.00/sigma_0.75/pi_0.50/seed_07
0.0,0.0,0.75,0.5,8,0.1363636363636363,0.3714285714285714,0.1542857142857142,0.7840949982007916,0.9751709247930911,0.9474902226778293,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6_delta_threshold_sweep/alpha_0.00/delta_0.00/sigma_0.75/pi_0.50/seed_08
0.0,0.0,0.75,0.5,9,0.1486486486486486,0.3657142857142857,0.1485714285714285,0.7946219316639941,0.9694091525841865,0.9373599902118248,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6_delta_threshold_sweep/alpha_0.00/delta_0.00/sigma_0.75/pi_0.50/seed_09
0.0,0.0,0.75,0.5,10,0.1395348837209302,0.3857142857142857,0.1457142857142857,0.8184822376962115,0.9749793461583854,0.9566722603314352,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6_delta_threshold_sweep/alpha_0.00/delta_0.00/sigma_0.75/pi_0.50/seed_10
0.0,0.0,0.95,0.25,1,0.1093117408906882,0.2942857142857142,0.12,0.8013713780137138,0.9796505197965052,0.9680832688186868,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6_delta_threshold_sweep/alpha_0.00/delta_0.00/sigma_0.95/pi_0.25/seed_01
0.0,0.0,0.95,0.25,2,0.1106719367588932,0.2771428571428571,0.1371428571428571,0.7853624901497241,0.9792159180457053,0.9708272848439568,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6_delta_threshold_sweep/alpha_0.00/delta_0.00/sigma_0.95/pi_0.25/seed_02
0.0,0.0,0.95,0.25,3,0.141025641025641,0.3314285714285714,0.1428571428571428,0.7721476510067115,0.9765100671140939,0.9503936943853778,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6_delta_threshold_sweep/alpha_0.00/delta_0.00/sigma_0.95/pi_0.25/seed_03
0.0,0.0,0.95,0.25,4,0.1255230125523012,0.3171428571428571,0.1285714285714285,0.7966000596480763,0.9805149617258176,0.972975476112754,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6_delta_threshold_sweep/alpha_0.00/delta_0.00/sigma_0.95/pi_0.25/seed_04
0.0,0.0,0.95,0.25,5,0.1148936170212766,0.3285714285714285,0.1228571428571428,0.8130373272390902,0.9806290129502666,0.9707293316466578,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6_delta_threshold_sweep/alpha_0.00/delta_0.00/sigma_0.95/pi_0.25/seed_05
0.0,0.0,0.95,0.25,6,0.1369294605809128,0.3114285714285714,0.14,0.7654213727193745,0.981948064484989,0.9717136351161857,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6_delta_threshold_sweep/alpha_0.00/delta_0.00/sigma_0.95/pi_0.25/seed_06
0.0,0.0,0.95,0.25,7,0.1330645161290322,0.2914285714285714,0.1342857142857142,0.7825096563335644,0.979895018322274,0.969551765894538,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6_delta_threshold_sweep/alpha_0.00/delta_0.00/sigma_0.95/pi_0.25/seed_07
0.0,0.0,0.95,0.25,8,0.125,0.2914285714285714,0.1257142857142857,0.7939720602793972,0.978440215597844,0.9647154645313974,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6_delta_threshold_sweep/alpha_0.00/delta_0.00/sigma_0.95/pi_0.25/seed_08
0.0,0.0,0.95,0.25,9,0.1302521008403361,0.32,0.1314285714285714,0.7645301466594242,0.9686311787072244,0.9511025133186869,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6_delta_threshold_sweep/alpha_0.00/delta_0.00/sigma_0.95/pi_0.25/seed_09
