t,mean_x,mean_y,mean_x_all,mean_y_all,mean_L,y0,mean_epc,mean_r,mean_b,fund_prevalence,mean_epc_all,mean_r_all,mean_b_all,fund_prevalence_all,punish_rate,mean_punished,exit_rate,mean_exit_intent,exit_attempt_rate,exit_success_rate,p_opp_mean,stay_value,mean_degree_active,threat,A,budget,enforcer_frac,n_cadre_fallback,cap_mean,cap_p90,service_mean,service_p90,monopoly_on,enforcer_punish_share_step,alpha_punish_revalue,delta_outside_degrade,mu_membership_reward,current_delta,eta_delta_drift,punish_floor,punish_intensity_step,pi_reward,lam_punish,mean_exit_capacity,mean_outside_ties,mean_econ_independence,frac_born_inside,mean_tenure,n_deaths_step,exit_rate_last100,cumulative_exit_rate
0,0.34756316073552923,0.5008057324549042,0.34756316073552923,0.5008057324549042,0.2516337139533873,0.5,0.0,0.3269310922903789,0.32113089656848703,0.0,0.0,0.3269310922903789,0.32113089656848703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,11.76,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.22,0.25,0.5072847687426632,0.5172547762135097,0.4973147612718166,0.0,0.0,0,0.019867549668874173,0.5066666666666667
1,0.3586627916946167,0.5009709726819673,0.3586627916946167,0.5009709726819673,0.2516337139533873,0.5,0.6933333333333334,0.32739775895704554,0.32148089656848705,0.0033333333333333335,0.6933333333333334,0.32739775895704554,0.32148089656848705,0.0033333333333333335,0.013333333333333334,0.013333333333333334,0.0,0.006666666666666667,0.0,0.0,0.19039735287124634,0.08499999999999998,11.76,0.0,0.0,0.15,0.08,24,0.002,0.0,0.013333333333333334,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.08,0.013333333333333334,0.22,0.25,0.5109189082123904,0.52036633211427,0.5014714843105107,0.0,1.0,0,0.019867549668874173,0.5066666666666667
2,0.3675229305608352,0.5000488300048609,0.3675229305608352,0.5000488300048609,0.2516337139533873,0.5047434501611064,0.8766666666666667,0.32853109229037886,0.32233089656848707,0.0033333333333333335,0.8766666666666667,0.32853109229037886,0.32233089656848707,0.0033333333333333335,0.03333333333333333,0.03333333333333333,0.0,0.0033333333333333335,0.0,0.0,0.19084842025144808,0.08499999999999998,11.76,0.0,0.0,0.15,0.08,23,0.00699,0.0,0.0464,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.08,0.03333333333333333,0.22,0.25,0.5145337130144153,0.5234392186796255,0.505628207349205,0.0,2.0,0,0.019867549668874173,0.5066666666666667
3,0.37734365549532467,0.49931565015302964,0.37734365549532467,0.49931565015302964,0.2516337139533873,0.5093528498522027,0.91,0.3289310922903789,0.32263089656848704,0.0033333333333333335,0.91,0.3289310922903789,0.32263089656848704,0.0033333333333333335,0.013333333333333334,0.013333333333333334,0.0,0.01,0.0,0.0,0.19129792708924195,0.08499999999999998,11.76,0.0,0.0,0.15,0.08,20,0.008955049999999999,0.0,0.05880533333333332,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.08,0.013333333333333334,0.22,0.25,0.5181292991567441,0.526473667925589,0.5097849303878991,0.0,3.0,0,0.019867549668874173,0.5066666666666667
4,0.3885244942309399,0.49864793184529776,0.3885244942309399,0.49864793184529776,0.2516337139533873,0.5146264388085457,0.91,0.32999775895704553,0.32343089656848706,0.0033333333333333335,0.91,0.32999775895704553,0.32343089656848706,0.0033333333333333335,0.02666666666666667,0.02666666666666667,0.0,0.016666666666666666,0.0,0.0,0.19174470727125878,0.08499999999999998,11.76,0.0,0.0,0.15,0.08,20,0.012910274749999999,0.0,0.08429589333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.08,0.02666666666666667,0.22,0.25,0.521697253259376,0.5294699104760767,0.513924596042675,0.0,4.0,0,0.019867549668874173,0.5066666666666667
5,0.3963844517769083,0.4995897688549297,0.3963844517769083,0.4995897688549297,0.2516337139533873,0.5194391654337909,0.9366666666666666,0.33079775895704555,0.324030896568487,0.0033333333333333335,0.9366666666666666,0.33079775895704555,0.324030896568487,0.0033333333333333335,0.023333333333333334,0.023333333333333334,0.0,0.006666666666666667,0.0,0.0,0.19218980331964233,0.08499999999999998,11.76,0.0,0.0,0.15,0.08,18,0.01634572337625,0.0,0.10594330879999998,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.08,0.023333333333333334,0.22,0.25,0.5252453432052885,0.5324281755712615,0.5180625108393154,0.0,5.0,0,0.019867549668874173,0.5066666666666667
6,0.4065551807509197,0.4997412691277497,0.4065551807509197,0.4997412691277497,0.2516337139533873,0.5240019806374362,0.9,0.3318644256237122,0.32483089656848707,0.0033333333333333335,0.9,0.3318644256237122,0.32483089656848707,0.0033333333333333335,0.02666666666666667,0.02666666666666667,0.0,0.02666666666666667,0.0,0.0,0.19263311372162115,0.08499999999999998,11.76,0.0,0.0,0.15,0.08,16,0.020263994759368745,0.0,0.13049110929066668,0.0,0.0,0.875,0.0,0.0,0.0,0.0,0.0,0.08,0.02666666666666667,0.22,0.25,0.528773084022641,0.5353486910758752,0.5221974769694068,0.0,6.0,0,0.019867549668874173,0.5066666666666667
7,0.41537184946606276,0.5004102813045728,0.41537184946606276,0.5004102813045728,0.2516337139533873,0.527936911755214,0.9066666666666666,0.33279775895704555,0.32553089656848705,0.006666666666666667,0.9066666666666666,0.33279775895704555,0.32553089656848705,0.006666666666666667,0.023333333333333334,0.023333333333333334,0.0,0.04666666666666667,0.0,0.0,0.1930741177829428,0.08499999999999998,11.76,0.0,0.0,0.15,0.08,13,0.023662674785571904,0.0,0.15121462043818665,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.08,0.023333333333333334,0.22,0.25,0.5322771303150721,0.5382316834874612,0.5263225771426828,0.0,7.0,0,0.019867549668874173,0.5066666666666667
8,0.4223591646016807,0.5011657864001072,0.4223591646016807,0.5011657864001072,0.2516337139533873,0.5282562774655298,0.9,0.3341176293403127,0.32653089656848705,0.006666666666666667,0.9,0.3341176293403127,0.32653089656848705,0.006666666666666667,0.03333333333333333,0.03333333333333333,0.0,0.02666666666666667,0.0,0.0,0.1935135585076236,0.08499999999999998,11.76,0.0,0.0,0.15,0.08,12,0.028544361411644043,0.0,0.18152366136275627,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.08,0.03333333333333333,0.22,0.25,0.5357625276302682,0.5410773779445778,0.5304476773159588,0.0,8.0,0,0.019867549668874173,0.5066666666666667
9,0.4331084554963805,0.5020068954595477,0.4331084554963805,0.5020068954595477,0.2516337139533873,0.5284629239573964,0.8933333333333333,0.3357176293403127,0.32793089656848706,0.013333333333333334,0.8933333333333333,0.3357176293403127,0.32793089656848706,0.013333333333333334,0.05333333333333334,0.05333333333333334,0.0,0.02666666666666667,0.0,0.0,0.19395143710184468,0.08499999999999998,11.76,0.0,0.0,0.15,0.08,11,0.0361918537307258,0.0,0.2312265214688345,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.08,0.05333333333333334,0.22,0.25,0.5392293878620932,0.5438859982349515,0.5345727774892348,0.0,9.0,0,0.019867549668874173,0.5066666666666667
10,0.44295596924784536,0.5023701016068457,0.44295596924784536,0.5023701016068457,0.2516337139533873,0.5277464508464887,0.9266666666666666,0.33658429600697937,0.32888089656848707,0.013333333333333334,0.9266666666666666,0.33658429600697937,0.32888089656848707,0.013333333333333334,0.03,0.03333333333333333,0.0,0.016666666666666666,0.0,0.0,0.19438729712889902,0.08499999999999998,11.76,0.0,0.0,0.15,0.08,10,0.0395442277954055,0.0,0.2599353243727911,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.08,0.03,0.22,0.25,0.5426748935375091,0.546657766803583,0.5386920202714353,0.0,10.0,0,0.019867549668874173,0.5066666666666667
11,0.45038882646943645,0.5034956484711411,0.45038882646943645,0.5034956484711411,0.2516337139533873,0.5268273255767998,0.9033333333333333,0.33747006544272184,0.3295808965684871,0.016666666666666666,0.9033333333333333,0.33747006544272184,0.3295808965684871,0.016666666666666666,0.023333333333333334,0.023333333333333334,0.0,0.02666666666666667,0.0,0.0,0.19482021514586406,0.08499999999999998,11.76,0.0,0.0,0.15,0.08,8,0.042846506656428474,0.0,0.2780699512186686,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.08,0.023333333333333334,0.22,0.25,0.5460932602285838,0.5493929047608028,0.542793615696365,0.0,11.0,0,0.019867549668874173,0.5066666666666667
12,0.46149622743813523,0.5043155409749919,0.46149622743813523,0.5043155409749919,0.2516337139533873,0.5268852573692978,0.9033333333333333,0.3382482114689945,0.3305808965684871,0.02,0.9033333333333333,0.3382482114689945,0.3305808965684871,0.02,0.03666666666666667,0.03666666666666667,0.0,0.03,0.0,0.0,0.1952515696450648,0.08499999999999998,11.76,0.0,0.0,0.15,0.08,7,0.04719877412314633,0.0,0.30917521886096194,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.08,0.03666666666666667,0.22,0.25,0.5494934215057871,0.5520916318902793,0.5468952111212948,0.0,12.0,0,0.019867549668874173,0.5066666666666667
13,0.4699785737555962,0.5045325799785624,0.4699785737555962,0.5045325799785624,0.2516337139533873,0.5270584919428165,0.9,0.34005279666698596,0.33243089656848707,0.02,0.9,0.34005279666698596,0.33243089656848707,0.02,0.06,0.06666666666666667,0.0,0.06333333333333334,0.0,0.0,0.19568136225294605,0.08499999999999998,11.76,0.0,0.0,0.15,0.08,7,0.05628484159094822,0.0,0.36965838115040933,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.08,0.06,0.22,0.25,0.5528754866016017,0.5547541666569787,0.5509968065462245,0.0,13.0,0,0.019867549668874173,0.5066666666666667
14,0.4763342068567658,0.5041848488885896,0.4763342068567658,0.5041848488885896,0.2516337139533873,0.5271363228537191,0.8866666666666667,0.340852796666986,0.33397248702297133,0.02,0.8866666666666667,0.340852796666986,0.33397248702297133,0.02,0.06,0.06,0.0,0.1,0.0,0.0,0.196109594676051,0.08499999999999998,11.76,0.0,0.0,0.15,0.08,6,0.06131177502365258,0.0,0.42226521352740115,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.08,0.06,0.22,0.25,0.5562395640931164,0.5573807262150782,0.5550984019711543,0.0,14.0,0,0.019867549668874173,0.5066666666666667
